leading_license_id;subordinate_license_id;leading_copyleft_status;subordinate_copyleft_status;osadl_compatibility;explanation
0BSD;AFL-2.0;No;No;Yes;"Non-copyleft licenses such as the AFL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;AFL-2.1;No;No;Yes;"Non-copyleft licenses such as the AFL-2.1 license and the 0BSD license are generally considered mutually compatible."
0BSD;AFL-3.0;No;No;Yes;"Non-copyleft licenses such as the AFL-3.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;AGPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;AGPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;Apache-1.0;No;No;Yes;"Non-copyleft licenses such as the Apache-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Apache-1.1;No;No;Yes;"Non-copyleft licenses such as the Apache-1.1 license and the 0BSD license are generally considered mutually compatible."
0BSD;Apache-2.0;No;No;Yes;"Non-copyleft licenses such as the Apache-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-1.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-1.0-Perl;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0-Perl license and the 0BSD license are generally considered mutually compatible."
0BSD;Artistic-2.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Bitstream-Vera;No;No;Yes;"Non-copyleft licenses such as the Bitstream-Vera license and the 0BSD license are generally considered mutually compatible."
0BSD;blessing;No;No;Yes;"Non-copyleft licenses such as the blessing license and the 0BSD license are generally considered mutually compatible."
0BSD;BlueOak-1.0.0;No;No;Yes;"Non-copyleft licenses such as the BlueOak-1.0.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-1-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-1-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-2-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-2-Clause-Patent;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause-Patent license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-3-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-3-Clause-Open-MPI;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause-Open-MPI license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4-Clause-UC;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause-UC license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-4.3TAHOE;No;No;Yes;"Non-copyleft licenses such as the BSD-4.3TAHOE license and the 0BSD license are generally considered mutually compatible."
0BSD;BSD-Source-Code;No;No;Yes;"Non-copyleft licenses such as the BSD-Source-Code license and the 0BSD license are generally considered mutually compatible."
0BSD;BSL-1.0;No;No;Yes;"Non-copyleft licenses such as the BSL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;bzip2-1.0.5;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.5 license and the 0BSD license are generally considered mutually compatible."
0BSD;bzip2-1.0.6;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.6 license and the 0BSD license are generally considered mutually compatible."
0BSD;CC-BY-2.5;No;No;Yes;"Non-copyleft licenses such as the CC-BY-2.5 license and the 0BSD license are generally considered mutually compatible."
0BSD;CC-BY-3.0;No;No;Yes;"Non-copyleft licenses such as the CC-BY-3.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;CDDL-1.0;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;CDDL-1.1;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.1 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;CPL-1.0;No;Yes;No;"Software under a copyleft license such as the CPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;curl;No;No;Yes;"Non-copyleft licenses such as the curl license and the 0BSD license are generally considered mutually compatible."
0BSD;ECL-1.0;No;No;Yes;"Non-copyleft licenses such as the ECL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;ECL-2.0;No;No;Yes;"Non-copyleft licenses such as the ECL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;EFL-2.0;No;No;Yes;"Non-copyleft licenses such as the EFL-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;EPL-1.0;No;Yes;No;"Software under a copyleft license such as the EPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EPL-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the EPL-2.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EUPL-1.1;No;Yes;No;"Software under a copyleft license such as the EUPL-1.1 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;EUPL-1.2;No;Yes;No;"Software under a copyleft license such as the EUPL-1.2 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;FSFAP;No;No;Yes;"Non-copyleft licenses such as the FSFAP license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFUL;No;No;Yes;"Non-copyleft licenses such as the FSFUL license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFULLR;No;No;Yes;"Non-copyleft licenses such as the FSFULLR license and the 0BSD license are generally considered mutually compatible."
0BSD;FSFULLRWD;No;No;Yes;"Non-copyleft licenses such as the FSFULLRWD license and the 0BSD license are generally considered mutually compatible."
0BSD;FTL;No;No;Yes;"Non-copyleft licenses such as the FTL license and the 0BSD license are generally considered mutually compatible."
0BSD;GPL-1.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-1.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-only WITH Classpath-exception-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the GPL-2.0-only WITH Classpath-exception-2.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-2.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;GPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;HPND;No;No;Yes;"Non-copyleft licenses such as the HPND license and the 0BSD license are generally considered mutually compatible."
0BSD;IBM-pibs;No;No;Yes;"Non-copyleft licenses such as the IBM-pibs license and the 0BSD license are generally considered mutually compatible."
0BSD;ICU;No;No;Yes;"Non-copyleft licenses such as the ICU license and the 0BSD license are generally considered mutually compatible."
0BSD;IJG;No;No;Yes;"Non-copyleft licenses such as the IJG license and the 0BSD license are generally considered mutually compatible."
0BSD;ImageMagick;No;No;Yes;"Non-copyleft licenses such as the ImageMagick license and the 0BSD license are generally considered mutually compatible."
0BSD;Info-ZIP;No;No;Yes;"Non-copyleft licenses such as the Info-ZIP license and the 0BSD license are generally considered mutually compatible."
0BSD;IPL-1.0;No;Yes;No;"Software under a copyleft license such as the IPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;ISC;No;No;Yes;"Non-copyleft licenses such as the ISC license and the 0BSD license are generally considered mutually compatible."
0BSD;JasPer-2.0;No;No;Yes;"Non-copyleft licenses such as the JasPer-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;LGPL-2.0-only;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;LGPL-2.0-or-later;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;LGPL-2.1-only;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.1-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;LGPL-2.1-or-later;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.1-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;LGPL-3.0-only;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;LGPL-3.0-or-later;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;Libpng;No;No;Yes;"Non-copyleft licenses such as the Libpng license and the 0BSD license are generally considered mutually compatible."
0BSD;libpng-2.0;No;No;Yes;"Non-copyleft licenses such as the libpng-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;libtiff;No;No;Yes;"Non-copyleft licenses such as the libtiff license and the 0BSD license are generally considered mutually compatible."
0BSD;LicenseRef-scancode-bsla-no-advert;No;No;Yes;"Non-copyleft licenses such as the LicenseRef-scancode-bsla-no-advert license and the 0BSD license are generally considered mutually compatible."
0BSD;LicenseRef-scancode-info-zip-2003-05;No;No;Yes;"Non-copyleft licenses such as the LicenseRef-scancode-info-zip-2003-05 license and the 0BSD license are generally considered mutually compatible."
0BSD;LicenseRef-scancode-ppp;No;No;Yes;"Non-copyleft licenses such as the LicenseRef-scancode-ppp license and the 0BSD license are generally considered mutually compatible."
0BSD;Minpack;No;No;Yes;"Non-copyleft licenses such as the Minpack license and the 0BSD license are generally considered mutually compatible."
0BSD;MirOS;No;No;Yes;"Non-copyleft licenses such as the MirOS license and the 0BSD license are generally considered mutually compatible."
0BSD;MIT;No;No;Yes;"Non-copyleft licenses such as the MIT license and the 0BSD license are generally considered mutually compatible."
0BSD;MIT-0;No;No;Yes;"Non-copyleft licenses such as the MIT-0 license and the 0BSD license are generally considered mutually compatible."
0BSD;MIT-CMU;No;No;Yes;"Non-copyleft licenses such as the MIT-CMU license and the 0BSD license are generally considered mutually compatible."
0BSD;MPL-1.1;No;Yes (restricted);No;"Software under a copyleft license such as the MPL-1.1 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;MPL-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the MPL-2.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;MPL-2.0-no-copyleft-exception;No;Yes (restricted);No;"Software under a copyleft license such as the MPL-2.0-no-copyleft-exception license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;MS-PL;No;Questionable;Unknown;"It is unclear whether &quot;any portion of the software&quot; assumes code changes and additions that also must be distributed &quot;only under this license&quot;. In addition, a &quot;license that complies with this license&quot; may or may not be interpreted as a copyleft clause. If not, the copyleft condition would depend on the mode of delivery which would require a case-by-case assessment. Therefore, a general recommendation on the compatibility of the MS-PL license can only be given for selected cases. Interpretation: It is unclear whether &quot;any portion of the software&quot; assumes code changes and additions that also must be distributed &quot;only under this license&quot;. In addition, a &quot;license that complies with this license&quot; may or may not be interpreted as a copyleft clause. If not, the copyleft condition would depend on the mode of delivery which would require a case-by-case assessment. Therefore, a general recommendation on the compatibility of the MS-PL license can only be given for selected cases."
0BSD;MS-RL;No;Yes (restricted);No;"Software under a copyleft license such as the MS-RL license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;NBPL-1.0;No;No;Yes;"Non-copyleft licenses such as the NBPL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;NCSA;No;No;Yes;"Non-copyleft licenses such as the NCSA license and the 0BSD license are generally considered mutually compatible."
0BSD;NTP;No;No;Yes;"Non-copyleft licenses such as the NTP license and the 0BSD license are generally considered mutually compatible."
0BSD;OGC-1.0;No;No;Yes;"Non-copyleft licenses such as the OGC-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;OLDAP-2.8;No;No;Yes;"Non-copyleft licenses such as the OLDAP-2.8 license and the 0BSD license are generally considered mutually compatible."
0BSD;OpenSSL;No;Questionable;Unknown;"The final statement of the appended SSLeay License &quot;The licence and distribution terms for any publically available version or derivative of this code cannot be changed&quot; normally must be interpreted as a copyleft clause, but there is no general consensus on this interpretation. Therefore, a recommendation on the compatibility of the OpenSSL license can only be given for selected cases. Interpretation: The final statement of the appended SSLeay License &quot;The licence and distribution terms for any publically available version or derivative of this code cannot be changed&quot; normally must be interpreted as a copyleft clause, but there is no general consensus on this interpretation. Therefore, a recommendation on the compatibility of the OpenSSL license can only be given for selected cases."
0BSD;OSL-3.0;No;Yes;No;"Software under a copyleft license such as the OSL-3.0 license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;PHP-3.01;No;No;Yes;"Non-copyleft licenses such as the PHP-3.01 license and the 0BSD license are generally considered mutually compatible."
0BSD;PostgreSQL;No;No;Yes;"Non-copyleft licenses such as the PostgreSQL license and the 0BSD license are generally considered mutually compatible."
0BSD;Python-2.0;No;No;Yes;"Non-copyleft licenses such as the Python-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Qhull;No;No;Yes;"Non-copyleft licenses such as the Qhull license and the 0BSD license are generally considered mutually compatible."
0BSD;RSA-MD;No;No;Yes;"Non-copyleft licenses such as the RSA-MD license and the 0BSD license are generally considered mutually compatible."
0BSD;Saxpath;No;No;Yes;"Non-copyleft licenses such as the Saxpath license and the 0BSD license are generally considered mutually compatible."
0BSD;SGI-B-2.0;No;No;Yes;"Non-copyleft licenses such as the SGI-B-2.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;Sleepycat;No;Yes;No;"Software under a copyleft license such as the Sleepycat license normally cannot be redistributed under a non-copyleft license such as the 0BSD license, except if it were explicitly permitted in the licenses."
0BSD;SMLNJ;No;No;Yes;"Non-copyleft licenses such as the SMLNJ license and the 0BSD license are generally considered mutually compatible."
0BSD;Spencer-86;No;No;Yes;"Non-copyleft licenses such as the Spencer-86 license and the 0BSD license are generally considered mutually compatible."
0BSD;SSH-OpenSSH;No;No;Yes;"Non-copyleft licenses such as the SSH-OpenSSH license and the 0BSD license are generally considered mutually compatible."
0BSD;SSH-short;No;No;Yes;"Non-copyleft licenses such as the SSH-short license and the 0BSD license are generally considered mutually compatible."
0BSD;SunPro;No;No;Yes;"Non-copyleft licenses such as the SunPro license and the 0BSD license are generally considered mutually compatible."
0BSD;Unicode-DFS-2015;No;No;Yes;"Non-copyleft licenses such as the Unicode-DFS-2015 license and the 0BSD license are generally considered mutually compatible."
0BSD;Unicode-DFS-2016;No;No;Yes;"Non-copyleft licenses such as the Unicode-DFS-2016 license and the 0BSD license are generally considered mutually compatible."
0BSD;Unlicense;No;No;Yes;"Non-copyleft licenses such as the Unlicense license and the 0BSD license are generally considered mutually compatible."
0BSD;UPL-1.0;No;No;Yes;"Non-copyleft licenses such as the UPL-1.0 license and the 0BSD license are generally considered mutually compatible."
0BSD;W3C;No;No;Yes;"Non-copyleft licenses such as the W3C license and the 0BSD license are generally considered mutually compatible."
0BSD;W3C-19980720;No;No;Yes;"Non-copyleft licenses such as the W3C-19980720 license and the 0BSD license are generally considered mutually compatible."
0BSD;W3C-20150513;No;No;Yes;"Non-copyleft licenses such as the W3C-20150513 license and the 0BSD license are generally considered mutually compatible."
0BSD;WTFPL;No;No;Yes;"Non-copyleft licenses such as the WTFPL license and the 0BSD license are generally considered mutually compatible."
0BSD;X11;No;No;Yes;"Non-copyleft licenses such as the X11 license and the 0BSD license are generally considered mutually compatible."
0BSD;XFree86-1.1;No;No;Yes;"Non-copyleft licenses such as the XFree86-1.1 license and the 0BSD license are generally considered mutually compatible."
0BSD;Zlib;No;No;Yes;"Non-copyleft licenses such as the Zlib license and the 0BSD license are generally considered mutually compatible."
0BSD;zlib-acknowledgement;No;No;Yes;"Non-copyleft licenses such as the zlib-acknowledgement license and the 0BSD license are generally considered mutually compatible."
0BSD;ZPL-2.0;No;No;Yes;"Non-copyleft licenses such as the ZPL-2.0 license and the 0BSD license are generally considered mutually compatible."
AFL-2.0;0BSD;No;No;Yes;"Non-copyleft licenses such as the 0BSD license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;AFL-2.1;No;No;Yes;"Non-copyleft licenses such as the AFL-2.1 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;AFL-3.0;No;No;Yes;"Non-copyleft licenses such as the AFL-3.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;AGPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;AGPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the AGPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;Apache-1.0;No;No;Yes;"Non-copyleft licenses such as the Apache-1.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Apache-1.1;No;No;Yes;"Non-copyleft licenses such as the Apache-1.1 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Apache-2.0;No;No;Yes;"Non-copyleft licenses such as the Apache-2.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Artistic-1.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Artistic-1.0-Perl;No;No;Yes;"Non-copyleft licenses such as the Artistic-1.0-Perl license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Artistic-2.0;No;No;Yes;"Non-copyleft licenses such as the Artistic-2.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Bitstream-Vera;No;No;Yes;"Non-copyleft licenses such as the Bitstream-Vera license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;blessing;No;No;Yes;"Non-copyleft licenses such as the blessing license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BlueOak-1.0.0;No;No;Yes;"Non-copyleft licenses such as the BlueOak-1.0.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-1-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-1-Clause license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-2-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-2-Clause-Patent;No;No;Yes;"Non-copyleft licenses such as the BSD-2-Clause-Patent license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-3-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-3-Clause-Open-MPI;No;No;Yes;"Non-copyleft licenses such as the BSD-3-Clause-Open-MPI license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-4-Clause;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-4-Clause-UC;No;No;Yes;"Non-copyleft licenses such as the BSD-4-Clause-UC license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-4.3TAHOE;No;No;Yes;"Non-copyleft licenses such as the BSD-4.3TAHOE license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSD-Source-Code;No;No;Yes;"Non-copyleft licenses such as the BSD-Source-Code license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;BSL-1.0;No;No;Yes;"Non-copyleft licenses such as the BSL-1.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;bzip2-1.0.5;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.5 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;bzip2-1.0.6;No;No;Yes;"Non-copyleft licenses such as the bzip2-1.0.6 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;CC-BY-2.5;No;No;Yes;"Non-copyleft licenses such as the CC-BY-2.5 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;CC-BY-3.0;No;No;Yes;"Non-copyleft licenses such as the CC-BY-3.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;CDDL-1.0;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;CDDL-1.1;No;Yes (restricted);No;"Software under a copyleft license such as the CDDL-1.1 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;CPL-1.0;No;Yes;No;"Software under a copyleft license such as the CPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;curl;No;No;Yes;"Non-copyleft licenses such as the curl license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;ECL-1.0;No;No;Yes;"Non-copyleft licenses such as the ECL-1.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;ECL-2.0;No;No;Yes;"Non-copyleft licenses such as the ECL-2.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;EFL-2.0;No;No;Yes;"Non-copyleft licenses such as the EFL-2.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;EPL-1.0;No;Yes;No;"Software under a copyleft license such as the EPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;EPL-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the EPL-2.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;EUPL-1.1;No;Yes;No;"Software under a copyleft license such as the EUPL-1.1 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;EUPL-1.2;No;Yes;No;"Software under a copyleft license such as the EUPL-1.2 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;FSFAP;No;No;Yes;"Non-copyleft licenses such as the FSFAP license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;FSFUL;No;No;Yes;"Non-copyleft licenses such as the FSFUL license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;FSFULLR;No;No;Yes;"Non-copyleft licenses such as the FSFULLR license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;FSFULLRWD;No;No;Yes;"Non-copyleft licenses such as the FSFULLRWD license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;FTL;No;No;Yes;"Non-copyleft licenses such as the FTL license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;GPL-1.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-only license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-1.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-1.0-or-later license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-2.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-only license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-2.0-only WITH Classpath-exception-2.0;No;Yes (restricted);No;"Software under a copyleft license such as the GPL-2.0-only WITH Classpath-exception-2.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-2.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-2.0-or-later license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-3.0-only;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-only license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;GPL-3.0-or-later;No;Yes;No;"Software under a copyleft license such as the GPL-3.0-or-later license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;HPND;No;No;Yes;"Non-copyleft licenses such as the HPND license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;IBM-pibs;No;No;Yes;"Non-copyleft licenses such as the IBM-pibs license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;ICU;No;No;Yes;"Non-copyleft licenses such as the ICU license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;IJG;No;No;Yes;"Non-copyleft licenses such as the IJG license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;ImageMagick;No;No;Yes;"Non-copyleft licenses such as the ImageMagick license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;Info-ZIP;No;No;Yes;"Non-copyleft licenses such as the Info-ZIP license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;IPL-1.0;No;Yes;No;"Software under a copyleft license such as the IPL-1.0 license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;ISC;No;No;Yes;"Non-copyleft licenses such as the ISC license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;JasPer-2.0;No;No;Yes;"Non-copyleft licenses such as the JasPer-2.0 license and the AFL-2.0 license are generally considered mutually compatible."
AFL-2.0;LGPL-2.0-only;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.0-only license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
AFL-2.0;LGPL-2.0-or-later;No;Yes (restricted);No;"Software under a copyleft license such as the LGPL-2.0-or-later license normally cannot be redistributed under a non-copyleft license such as the AFL-2.0 license, except if it were explicitly permitted in the licenses."
